exp_num,gamma,doRewardMinus,doProbMinus,lr,hid_dim,objective
17,0.1,True,False,0.0001,64,16622038.0
18,0.1,True,False,0.0001,64,19759346.0
19,0.1,True,False,0.0001,64,18432284.0
0,0.1,True,False,0.0001,128,21685816.0
1,0.1,True,False,0.0001,128,18719320.0
2,0.1,True,False,0.0001,128,19605978.0
3,0.1,True,False,0.0001,128,20097550.0
4,0.1,True,False,0.0001,128,19473972.0
5,0.1,True,False,0.0001,128,19829178.0
6,0.1,True,False,0.0001,128,19438888.0
7,0.1,True,False,0.0001,128,17746936.0
8,0.1,True,False,0.0001,128,19251024.0
9,0.1,True,False,0.0001,128,18077166.0
10,0.1,True,False,0.0001,128,20352816.0
11,0.1,True,False,0.0001,128,18508226.0
12,0.1,True,False,0.0001,128,18061568.0
13,0.1,True,False,0.0001,128,18369880.0
14,0.1,True,False,0.0001,128,18579686.0
15,0.1,True,False,0.0001,128,18505524.0
16,0.1,True,False,0.0001,128,17906786.0
17,0.1,True,False,0.0001,128,16638944.0
18,0.1,True,False,0.0001,128,19799240.0
19,0.1,True,False,0.0001,128,18434276.0
0,0.1,True,False,0.0001,256,21710340.0
1,0.1,True,False,0.0001,256,18784728.0
2,0.1,True,False,0.0001,256,19646510.0
3,0.1,True,False,0.0001,256,20084088.0
4,0.1,True,False,0.0001,256,19404758.0
5,0.1,True,False,0.0001,256,19854380.0
6,0.1,True,False,0.0001,256,19430224.0
7,0.1,True,False,0.0001,256,17750946.0
8,0.1,True,False,0.0001,256,19271952.0
9,0.1,True,False,0.0001,256,18090836.0
10,0.1,True,False,0.0001,256,20362224.0
11,0.1,True,False,0.0001,256,18535652.0
12,0.1,True,False,0.0001,256,18071240.0
13,0.1,True,False,0.0001,256,18378520.0
14,0.1,True,False,0.0001,256,18565708.0
15,0.1,True,False,0.0001,256,18540872.0
16,0.1,True,False,0.0001,256,17907348.0
17,0.1,True,False,0.0001,256,16618019.0
18,0.1,True,False,0.0001,256,19793548.0
19,0.1,True,False,0.0001,256,18436504.0
0,0.1,True,False,0.0005,64,21628000.0
1,0.1,True,False,0.0005,64,18774428.0
2,0.1,True,False,0.0005,64,19626500.0
3,0.1,True,False,0.0005,64,20061342.0
4,0.1,True,False,0.0005,64,19439068.0
5,0.1,True,False,0.0005,64,19850862.0
6,0.1,True,False,0.0005,64,19425108.0
7,0.1,True,False,0.0005,64,17736146.0
8,0.1,True,False,0.0005,64,19247892.0
9,0.1,True,False,0.0005,64,18081032.0
10,0.1,True,False,0.0005,64,20356908.0
11,0.1,True,False,0.0005,64,18524176.0
12,0.1,True,False,0.0005,64,18067034.0
13,0.1,True,False,0.0005,64,18393604.0
14,0.1,True,False,0.0005,64,18585624.0
15,0.1,True,False,0.0005,64,18536342.0
16,0.1,True,False,0.0005,64,17885186.0
17,0.1,True,False,0.0005,64,16634334.0
18,0.1,True,False,0.0005,64,19780476.0
19,0.1,True,False,0.0005,64,18433898.0
0,0.1,True,False,0.0005,128,21709560.0
1,0.1,True,False,0.0005,128,18789156.0
2,0.1,True,False,0.0005,128,19562324.0
3,0.1,True,False,0.0005,128,20092224.0
4,0.1,True,False,0.0005,128,19484220.0
5,0.1,True,False,0.0005,128,19844232.0
6,0.1,True,False,0.0005,128,19468912.0
7,0.1,True,False,0.0005,128,17753136.0
8,0.1,True,False,0.0005,128,19278250.0
9,0.1,True,False,0.0005,128,18095584.0
10,0.1,True,False,0.0005,128,20348936.0
11,0.1,True,False,0.0005,128,18561658.0
12,0.1,True,False,0.0005,128,18080142.0
13,0.1,True,False,0.0005,128,18389852.0
14,0.1,True,False,0.0005,128,18583540.0
15,0.1,True,False,0.0005,128,18552750.0
16,0.1,True,False,0.0005,128,17910318.0
17,0.1,True,False,0.0005,128,16627871.0
18,0.1,True,False,0.0005,128,19809600.0
19,0.1,True,False,0.0005,128,18460936.0
0,0.1,True,False,0.0005,256,21701088.0
1,0.1,True,False,0.0005,256,18760752.0
