길이	폭	높이	중량
5.6	2.7	2.6	4
5.6	2.7	2.6	4
12.5	3.4	2.6	5
12.5	3.4	2.6	5
9	4	2.6	5
9	4	2.6	5
20	15.7	2.2	58
9.7	4.8	2.3	7
8.5	4.8	2.3	7
7.5	4.8	2.3	7
7.5	4.8	2.3	8
8.8	4.8	2.3	7
8.4	4.8	2.3	7
8.4	4.8	2.3	7
7.6	4.8	2.3	8
11.4	4.3	2	5
13	4.3	2	7
12.6	4.3	2	7
20.2	4.9	4.8	14
19.2	4.9	4.8	18
20.2	4.9	2	10
19.2	4.9	2	11
15.9	11.2	7.6	19
15.9	11.2	7.6	18
14.4	19.4	3.2	25
14.5	12.6	6	33
14.5	12.6	6	32
17.1	9.6	5.4	40
14.3	11	6.2	32
4.4	6.2	5.2	3
14.2	13.7	5.6	40
14.2	13.7	5.6	42
15.9	15.1	5.9	37
15.9	12.9	5.9	31
12.4	11.1	5.7	32
12.4	11.1	5.7	32
11.3	5.2	1	10
13.4	5.2	2.6	15
14.4	16.1	5.2	39
14.4	16.1	5.2	36
5.2	12.8	2.8	21
5.2	12.8	2.8	19
5.2	18.8	2	17
5.2	18.8	2	19
5.9	15.2	2.5	16
5.9	15.8	2.5	17
20.3	9.3	5	36
20.3	9.3	5	36
10	15	12	
10	10	12	
8	8	12	
16.1	8.8	5.2	42
5.6	9.1	2.8	14
5.6	7.7	2.8	11
5.6	18	3.5	20
5.6	16.5	3.5	18
19.2	6.7	3.3	36
19.2	6.7	3.3	36
19.7	5.7	2.3	35
19.7	5.7	2.3	35
9.2	4.3	2	4
12.6	4.3	2	7
15.8	4.3	2	8
15.9	11.2	7.6	19
15.9	11.2	7.6	18
14.5	12.6	6	33
14.5	12.6	6	32
14.3	11	6.2	32
14.3	11.2	6.5	36
15.9	12.9	5.9	31
5.2	10.2	2	8
14.4	8.2	5.7	24
14.4	8.2	5.7	25
6.4	15.6	1.8	19
5.2	13.3	2	16
5.2	13.3	2	15
15.3	10.4	2.6	18
10.4	15.3	2.7	18
12	12	4	3
10	15	12	
10	15	12	
10	10	12	
10	15	12	
10	10	12	
16	41.2	7.6	0
16.1	25	8.4	0
20.5	1.8	1.8	56
20.5	1.8	1.8	56
7.4	3.2	2.6	9
8	4.3	2.6	9
7.9	2.9	2.6	6
8	4.2	2.9	7
7.4	2.6	2.8	5
8	3.8	2.8	7
18.3	5.5	2.2	33
18.2	5.4	2.2	33
19.7	5.7	2.3	35
19.7	5.7	2.3	35
16.6	9.8	4.2	34
16.6	9.8	4.2	35
9.3	4.3	2.5	7
9.3	4.3	2.5	7
15.6	9.9	3.5	34
15.6	9.9	3.5	33
10.8	2.6	1.2	9
17.4	10	3.2	40
15.9	10.5	5.3	39
15.9	9.5	5.3	39
5.9	7	1.3	10
5.9	7	1.3	11
10.9	5.2	1.3	10
10.9	5.2	2.6	10
3.9	2.7	2.6	3
5.2	13.3	2	16
5.2	13.3	2	15
4.1	7	2.6	6
18.3	4.5	2.6	15
18.3	4.5	2.6	15
10	15	4	
10	15	12	
10	15	12	
10	15	12	
10	15	12	
10	15	12	
10	15	12	
