길이	폭	높이	중량
10	15	12	
10	15	12	
10	10	12	
10	10	12	
10	10	4	
30.6	32.2	2.7	0
15.7	32.1	12.7	0
39.5	21.3	15.2	0
10.6	30.8	10.9	0
10	10	12	
28.8	20.7	12.6	0
28.8	22.6	7.8	0
10	10	12	
10	10	4	
51.8	13.4	10.2	0
51.4	17	8.2	0
7.9	5.3	11.5	25
20.2	22.9	9.6	
29	15	4.7	0
29	15	4.7	0
28.7	16.8	4.7	
2.6	2.2	0.5	1
10	10	4	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	4	
12.2	10.2	11.5	30
16.8	40.8	7.2	0
16.7	43	12.3	0
11.7	6.3	6.6	11
4.7	14.4	5.1	18
4.5	14.7	2.8	23
44.3	43	30.6	0
29	38.5	12.7	0
14.5	18.2	4.8	2
13.2	21.9	11	0
13.2	21.1	11	0
84.9	43	26.4	0
16.7	41.9	7.9	0
13.4	12	7.1	31
14.6	13.6	7.2	30
15.2	14.1	6.5	33
15.2	14.1	6.5	33
15	14	3.4	33
15	14	3.4	33
10.3	12.5	7.2	23
10.3	17.6	7.2	26
27.8	14	6.9	0
27.8	14	6.9	0
12.8	14.5	5.4	49
15	14.5	2	57
10.2	17.1	5.5	35
17.6	11.1	6.3	0
17.6	15.5	5.2	19
8.7	3.2	3	10
17.6	21.8	5.2	0
12.8	10.8	5.2	11
12.8	10.8	5.2	13
6.1	7	5.3	0
12.4	19.3	4.9	32
9.8	20.7	5.1	0
10.9	14.7	4.4	25
10.9	13.7	4.4	22
14.6	9.8	4.5	17
14.6	9.8	4.5	17
10.5	43	33.2	0
10.2	7.5	4.1	25
2.2	2.7	1.2	1
9.2	21.8	5.2	0
9.2	21.8	5.2	0
17.6	12.2	6.7	19
17.6	12.2	6.7	19
17.6	11.1	8.4	17
17.6	11.1	8.4	17
16.5	17.4	5.9	28
6.5	35	2.7	0
7.9	11.7	2.2	25
7.5	10.2	2.6	44
10	10	12	
10	10	12	
16.8	16.2	4.6	46
16.8	16.2	4.6	46
22.2	15	4.7	0
22.2	15	4.7	0
12.9	13.3	2.5	26
12.9	13.3	2.5	26
9.2	8	2	12
9.2	8	2	12
10.8	11.5	5.8	19
10.8	11.5	5.8	18
10.8	11.5	5.8	19
10.8	11.5	5.8	18
11.1	14.1	5.8	12
11.1	14.1	5.8	19
11	15	5.5	28
11	14.3	5.5	30
10.6	15.1	5.5	37
10.6	14.3	5.5	35
14.2	39.1	5.1	0
15	27.4	5.9	0
12	15.5	4.7	3
14.2	16.8	4.9	42
14.2	16.8	4.9	43
8.4	4.2	2.6	5
2.6	8	2	3
14.2	17.5	5.4	40
14.2	17.5	5.4	42
14.5	17.7	5.5	43
14.9	3.5	2.3	5
14.9	3.5	2.3	5
13.2	8.2	3	14
13.2	8.2	3	14
9.3	6.5	4.5	10
9.3	6.5	4.5	10
9.2	13.2	2	28
22.2	13.3	2	0
9.2	15	2.3	31
9.2	15	2.3	31
13	15	2.3	38
13	15	2.3	38
12.9	15	3.1	37
12.9	15	3.1	37
9.2	6.9	2.3	12
9.2	6.9	2.3	12
13.2	6.9	7	19
10	10	12	
10	10	4	
14.7	24.4	3.2	
10	10	4	
10	10	4	
20.1	13.5	4.4	34
12	12	4	0
12	12	4	0
10	10	12	
50.1	20	2.6	0
37.1	20	2.6	0
50.1	13.8	4.3	0
50.1	13.8	4.3	0
37.1	13.8	4.3	0
37.1	13.8	4.3	0
23	19.3	6.8	51
22.3	19.4	6.7	64
13.8	13.4	6.7	24
14.7	12.2	3.2	18
14.8	31.4	15.8	0
27.5	17.1	15.8	0
16.4	44.7	14.1	0
27.4	38.7	12.4	0
12	12	12	3
12	12	12	22
8.1	6.6	2.1	22
8.1	6.6	2.1	21
10	10	4	
14.4	38.6	7.7	0
51	20	4	0
50.5	20	2.6	0
15.1	19.9	1.9	41
51	13.8	8.9	0
51	13.8	10.6	0
53	14.5	10.9	0
15.5	13.5	4.4	26
15.1	14.9	4.9	27
15.4	13.5	4.4	26
15.4	13.5	4.4	26
14.9	13.5	4.4	24
14.9	13.5	4.4	25
20	13.5	4.4	32
20	13.5	4.4	32
43.2	9.5	7.1	0
21.8	10.5	7.6	36
23	19.3	6.8	51
22.3	19.4	6.7	64
13.8	13.4	6.7	24
51.4	16.7	8.3	0
17.6	42.1	11.1	0
20.8	45.8	5.2	0
21.7	13.7	5.6	63
14.8	24.4	3.2	0
14.7	11	4.5	8
14.7	11	4.5	8
9.8	8.2	4.6	6
13.5	12.6	6	0
9.8	7.6	4.2	0
17.9	16.3	8.1	43
17.9	17.8	8.1	46
16.2	16.9	8.1	35
19.3	19.6	7.2	84
19.3	19.6	7.2	71
14.9	14.7	3.4	49
6.6	13.8	4.7	23
2.8	4.6	1.6	2
25	45.8	23	0
12.9	18.9	6	68
30.8	32.5	4.4	0
12	12	4	22
12	12	4	7
12	12	4	6
10	10	12	
10	10	12	
7.9	5.3	11.5	26
7.9	5.3	11.5	25
20.1	16.3	3.1	65
20.1	16.3	3.1	67
15.7	16.2	3.1	50
15.7	16.2	3.1	52
14.9	14.6	3.2	65
21.9	10.2	1.9	57
21.9	10.3	1.9	63
15.2	13.2	4	38
15.2	13.2	4	41
15.2	13.2	4	39
15.2	13.2	4	39
15.2	13.2	4	39
21.3	4.5	2.2	26
21.3	4.5	2.2	26
16.7	6.4	1	11
17.8	6.4	1	13
17.8	6.6	1.9	15
16.5	6.8	1	8
13.7	16.5	6.5	75
25.5	12.5	4.6	0
25.5	12.5	4.6	0
17	12	4.3	27
17	12	4.3	27
25.6	20.9	3.6	0
17	19	6.6	64
14.8	13.4	5.1	26
14.8	13.4	5.1	26
28.2	15	5.5	0
28.2	15	5.5	0
13.1	16	5.2	49
10.1	5	1.8	8
5	19.1	3.7	22
3.3	19.1	1.3	8
21.3	22.9	5.9	98
21.9	22.8	5.9	124
21.9	23	5.9	139
21.1	22.8	5.2	104
21.1	24	5.2	106
23.1	22.8	5.3	108
23.1	22.8	5.3	113
14.7	13.5	3	21
13.2	7.1	4.8	22
13.2	7.1	4.8	22
4	8.2	4.4	7
8.2	6.8	4.2	9
7	10.2	3.7	15
7	10.2	3.7	15
15.7	7.5	8.2	13
15.7	7.5	8.2	13
15	7.5	8.2	14
15	7.5	8.2	14
10.9	21.2	5.7	84
10.9	21	5.7	78
24.2	45.8	24.2	0
21.5	17.2	4	65
21.5	17.2	4	64
21.4	17.2	4	67
21.4	17.2	4	64
22.6	17.2	4	72
22.6	17.2	4	69
17.3	19.4	3.2	55
6	6	3.3	2
6	6	3.3	2
20.1	5.9	3.8	23
20.1	5.9	3.8	23
20	15.7	2.6	95
20	5.9	3.8	22
20	5.9	3.8	22
15	15.1	2.8	94
15.2	15.5	2.8	66
15.2	15.5	2.8	77
25.2	15.5	3.1	70
19.7	4.6	3.1	18
19.7	4.6	3.1	18
8.6	6.4	2.4	23
10	15	12	
10	15	12	
11.7	2.8	2.3	29
11.7	2.8	2.3	28
11.2	4.4	2.7	11
11.2	4.4	2.7	11
6.2	7.7	3.3	9
6.2	7.7	3.3	9
11.3	5.2	2.6	14
11.3	5.2	2.6	14
7.2	7.3	3.2	22
7.2	7.3	3.2	21
4.3	5.1	2	5
4.2	4.4	5.4	11
10	10	4	
5.3	4.2	10.5	16
5.3	4.2	10.5	16
20.8	16	3.8	67
20.8	16	3.8	67
14.4	10.6	7.5	11
19.7	10	3.4	48
15.5	10.2	1.9	38
15.5	10	1.9	38
15.9	13.7	4.1	39
15.9	13.7	4.1	42
15.5	13.8	4.1	38
15.5	13.8	4.1	39
15.5	4.6	2.2	17
15.5	5.2	2.2	20
19.7	4.6	2.2	17
19.7	4.5	2.2	17
14.1	6.6	4.4	17
15.7	6.4	4.3	21
21.6	6.7	2.5	22
9.2	6.4	1	6
12.4	6.5	1	10
22	6.7	2	19
15.3	12.5	6.8	68
11.9	14.7	5	50
25	13.4	5	0
17	12.4	4.3	28
17	12.4	4.3	28
25	22.2	3.4	0
18.4	18.5	7.3	59
15	13.4	5	26
15	13.4	5	26
26.9	15.4	5.4	0
26.9	15.4	5.4	0
15	19.2	4.9	67
12.2	15.3	4.9	40
10.1	4.9	1.8	9
5.8	18.7	3.6	22
3.5	18.8	1.3	7
20.7	14.7	5.7	56
20.7	14.7	5.7	56
21	14.7	5.9	62
21	14.7	5.9	66
20.6	16.5	5.7	79
21.1	13.7	5.6	73
21.1	13.7	5.6	63
20.7	19.2	5.2	105
21.1	18.8	5.2	83
21.6	11.1	6.5	37
20.5	11.1	6.5	34
20.5	11.1	6.5	34
25	45.9	23	0
11.6	17.5	3.5	34
11.6	17.4	3.5	34
21.6	17.6	3.4	63
21.6	17.6	3.4	59
21.7	17.8	3.6	63
21.7	17.6	3.6	63
21.5	17.8	3.7	69
