length,width,height,count,location
16.0,14.0,1000.0,1,한내
17.0,12.0,1000.0,1,한내
17.0,16.0,1000.0,1,한내
20.0,18.0,1000.0,1,한내
21.0,16.0,1000.0,1,한내
21.0,19.0,1000.0,1,한내
21.0,21.0,1000.0,1,한내
23.0,13.0,1000.0,1,한내
23.0,17.0,1000.0,1,한내
23.0,19.0,1000.0,1,한내
21.0,20.0,1000.0,3,한내
19.0,13.0,1000.0,2,한내
20.0,18.0,1000.0,2,한내
13.0,13.0,1000.0,1,한내
16.0,12.0,1000.0,1,한내
18.0,12.0,1000.0,1,한내
18.0,14.0,1000.0,1,한내
19.0,17.0,1000.0,1,한내
20.0,13.0,1000.0,1,한내
20.0,17.0,1000.0,1,한내
23.0,12.0,1000.0,1,한내
13.0,12.0,1000.0,1,오비
14.0,12.0,1000.0,1,오비
15.0,13.0,1000.0,1,오비
16.0,14.0,1000.0,1,오비
17.0,13.0,1000.0,1,오비
18.0,14.0,1000.0,1,오비
19.0,14.0,1000.0,1,오비
19.0,16.0,1000.0,1,오비
19.0,17.0,1000.0,1,오비
20.0,18.0,1000.0,1,오비
22.0,17.0,1000.0,1,오비
23.0,16.0,1000.0,1,오비
23.0,22.0,1000.0,3,오비
23.0,20.0,1000.0,2,오비
16.0,14.0,1000.0,1,오비
17.0,14.0,1000.0,1,오비
18.0,15.0,1000.0,1,오비
19.0,14.0,1000.0,1,오비
20.0,12.0,1000.0,1,오비
20.0,17.0,1000.0,1,오비
20.0,18.0,1000.0,1,오비
21.0,12.0,1000.0,1,오비
21.0,19.0,1000.0,1,오비
21.0,21.0,1000.0,1,오비
22.0,19.0,1000.0,1,오비
22.0,21.0,1000.0,1,오비
13.0,12.0,1000.0,1,오비
17.0,14.0,1000.0,1,오비
18.0,14.0,1000.0,1,오비
19.0,16.0,1000.0,1,오비
20.0,13.0,1000.0,1,오비
20.0,15.0,1000.0,1,오비
20.0,19.0,1000.0,1,오비
22.0,18.0,1000.0,1,오비
22.0,19.0,1000.0,1,오비
23.0,13.0,1000.0,1,오비
23.0,16.0,1000.0,1,오비
23.0,18.0,1000.0,1,오비
23.0,22.0,1000.0,1,오비
14.0,12.0,1000.0,1,오비
14.0,13.0,1000.0,1,오비
15.0,13.0,1000.0,1,오비
17.0,16.0,1000.0,1,오비
20.0,14.0,1000.0,1,오비
20.0,16.0,1000.0,1,오비
20.0,19.0,1000.0,1,오비
21.0,15.0,1000.0,1,오비
21.0,17.0,1000.0,1,오비
22.0,18.0,1000.0,1,오비
22.0,19.0,1000.0,1,오비
23.0,15.0,1000.0,1,오비
16.0,14.0,1000.0,1,사내
18.0,15.0,1000.0,1,사내
19.0,14.0,1000.0,1,사내
19.0,16.0,1000.0,1,사내
20.0,14.0,1000.0,1,사내
21.0,14.0,1000.0,1,사내
21.0,19.0,1000.0,1,사내
22.0,15.0,1000.0,1,사내
23.0,17.0,1000.0,1,사내
23.0,20.0,1000.0,1,사내
